ID;EMPRENDIMENTO;Bairro;Endereço;Nº da unidade;Área Privativa (m2);N˚ Dorms.;Nº Suítes;N˚ Vagas;Ano Const.;Observações;Valor Condomínio;Valor IPTU;Valor de venda (R$);Valor M2 (R$ / m2);Link das Fotos sem marca d´água
601181047-50;Casa;Moema ;Jauaperi, 1838;x;190;3;1;1;1971;Casa maravilhosa em Moema ;R$ 0,00;R$ 8.303,00;R$ 1.750.000,00;R$ 9.210,53;https://drive.google.com/drive/folders/1X5hgdn1zijfh5tebl-WwH8bMWSYOEgCm
601181047-117;Casa;Jardim Guarau, 250;Reverendo Jorge Bertolaso Stella, 250;x;60;4;0;2;1988;Ótima casa no Jardim Guarau;R$ 0,00;R$ 0,00;R$ 450.000,00;R$ 7.500,00;https://drive.google.com/drive/folders/1nv-ReXT5smRIoZ5edNyEHKXetKxQpi-E
601181003-118; Converge Boulevard Office Mall;Água Branca;Clélia, 2208;609;35;0;0;0;2018;Ótima casa comercial na Água Branca ;R$ 600,00;R$ 350,00;R$ 360.000,00;R$ 10.285,71;https://drive.google.com/drive/folders/1_cyTpz4DV5C6CWcaaL7qUTAniFVdOJJV
601251256-21;You, Klabin;Vila Mariana ;Francisco de Vitória, 201;124;136;2;2;1;2018;Maravilhoso apartamento na Chácara Klabin ;R$ 1.654,00;R$ 6.631,00;R$ 2.050.000,00;R$ 15.073,53;https://drive.google.com/drive/folders/1Gim-3AUY6_aI91RMBR-Jg2v-2PCWbhid
601181054-109;Casa/sobrado;Jardim Itapoam - Santo André / SP;João Ribeiro de Barros, 56;sobrado;244;4;2;5;2006;Maravilhoso sobrado no Jardim Itapoam - Santo André / SP;R$ 0,00;R$ 1.823,00;R$ 698.000,00;R$ 2.860,66;https://drive.google.com/drive/folders/1pTYUi0b7lzPtXtWrcFZm1cw0DqSveqnt
601251054-107;Panorama ;Morro dos Ingleses ;Ingleses, 222;72;220;3;1;2;1975;Maravilhoso apartamento no Morro dos Ingleses ;R$ 3.385,00;R$ 7.530,00;R$ 1.490.000,00;R$ 6.772,73;https://drive.google.com/drive/folders/1jVU9326XBvOyXRx8Eti4t2pPXyMG-XyI
601251341-11;Vila Nova de Gaia ;Jardim Enseada - Guarujá;Dona Vitória Yunes Stefano, 485;32;150;3;3;2;2000;Maravilhoso apartamento na Enseada - Guarujá ;R$ 2.670,00;R$ 15.914,00;R$ 1.350.000,00;R$ 9.000,00;https://drive.google.com/drive/folders/11xtU7OtT5QoIagdkfrFZspB9sDKEjw2W
601251018-128;Domy Vila Mariana;Vila Mariana ;Doutor Nicolau de Sousa Queirós, 467;231 A;85;2;2;2;2021;Maravilhoso apartamento na Vila Mariana ;R$ 1.600,00;R$ 5.100,00;R$ 1.890.000,00;R$ 22.235,29;https://drive.google.com/drive/folders/1TOmczoEfsbt8JeGNv7emVh0CmJYdsmhM
601181054-90;Capote Valente ;Pinheiros ;Capote Valente, 493;41;65;2;1;1;1973;Maravilhoso apartamento em Pinheiros ;R$ 913,00;R$ 728,00;R$ 696.000,00;R$ 10.707,69;https://drive.google.com/drive/folders/1-csPzeCQx-OyXbM4MJzzbzGCRGlnOwUc
601251114-32;On Alvorada ;Vila Olímpia ;Alvorada, 183;802;26;1;0;0;2024;Lindo apartamento na Vila Olímpia ;R$ 1.073,00;R$ 85,00;R$ 475.000,00;R$ 18.269,23;https://drive.google.com/drive/folders/1D7SsoAl5N__VFaJ_czCy9Jccmu-5y7nD
 601181054-48;galpão comercial ;Centro de São Caetano do Sul ;Amazonas, 363;x;384;0;0;50;1979;Ótimo galpão comercial no Centro de São Caetano Sul ;R$ 0,00;R$ 34.641,00;R$ 4.800.000,00;R$ 12.500,00;https://drive.google.com/drive/folders/1px5nWtU3pUpD_BUwlTFl22J_on0-_ldt
601251014-10;Casa;Sacomã;Cristóforo Mantegazza, 134;x;126;3;0;2;;Maravilhosa casa no Sacomã ;R$ 0,00;R$ 65,00;R$ 590.000,00;R$ 4.682,54;https://drive.google.com/drive/folders/1On6B97JNBxMAiPxAbWQzkkAWMNBUiFuP
601251087-99;Jauaperi;Moema ;Jauaperi, 975;71;161;4;1;3;1981;Maravilhoso apartamento em Moema ;R$ 2.627,00;R$ 10.838,00;R$ 1.390.000,00;R$ 8.633,54;https://drive.google.com/drive/folders/1YHf6B7yWxtkT8Qo0TbYSiN8qGMKoz5gV
601251084-264;Nato Itaim ;Itaim Bibi ;Doutor Renato Paes de Barros, 735;36;35;1;0;0;2024;Ótimo estúdio no Itaim Bibi ;R$ 770,00;R$ 145,00;R$ 748.000,00;R$ 21.371,43;https://drive.google.com/drive/folders/18V3wgeXo2D1UwF14umsnHQNdbFg0hKK0
 601251030-13;Cuore;Moema ;Ministro Gabriel de Rezende Passos, 171;81;303;3;3;6;1999;Maravilhoso apartamento em Moema ;R$ 11.000,00;R$ 51.000,00;R$ 4.950.000,00;R$ 16.336,63;https://drive.google.com/drive/folders/1vD0GK709mgZcQp1KxFGJUig2UFuSNd8x
601331072-1;Dalia;Vila Mascote ;Doutor Abelardo Vergueiro César, 45;102;69;2;0;1;1991;Maravilhoso apartamento na Vila Mascote ;R$ 1.178,00;R$ 821,00;R$ 485.000,00;R$ 7.028,99;https://drive.google.com/drive/folders/1CJCH7urHpoI1V3ey8rJqQfdivKii5RZ_
601251044-75;Casa/sobrado;Jardim das Vertentes ;Benedito Branco de Abreu, 124;x;164;3;1;3;1998;Maravilhoso sobrado no Jardim das Vertentes ;R$ 0,00;R$ 2.497,00;R$ 595.000,00;R$ 3.628,05;https://drive.google.com/drive/folders/1nzlAC791gkVLNkhpfjTyJwOCXQ5-lKsA
601251165-181;Imperador;Campo Belo;Pascal, 605;1;73;2;0;1;1983;Ótimo apartamento no Campo Belo;R$ 1.309,00;R$ 565,00;R$ 699.000,00;R$ 9.575,34;https://drive.google.com/drive/folders/1IlNM4eznjniyNfY_59XDeAPcttaM4rm0
601251165-172;The Collection Vila Clementino ;Vila Mariana ;Marselhesa, 515;1619;36;1;0;0;2027;Ótimo apartamento na Vila Mariana;R$ 1,00;R$ 1,00;R$ 449.000,00;R$ 12.472,22;https://drive.google.com/drive/folders/16eBWk4_II20mMErDAzWEo_truAoajQJk
601251009-58; Arkadio Ez By Ott Brooklin;Brooklin;Santo Arcádio, 92;222;142;3;3;2;2026;Maravilhoso apartamento no Brooklin;R$ 1.975,00;R$ 1.957,00;R$ 2.390.000,00;R$ 16.830,99;https://drive.google.com/drive/folders/1NJ-R5L1zu6q-sv6Qu4vOXK6lZV7lFhGv
601251016-112;Ez Parque Da Cidade By Eztec;Chácara Santo Antônio (Zona Sul);Antônio de Oliveira, 805;142;162;3;3;3;2024;Maravilhoso apartamento na Chácara Santo Antônio (Zona Sul) ;R$ 2.754,00;R$ 3.491,00;R$ 3.095.000,00;R$ 19.104,94;https://drive.google.com/drive/folders/1qjTR7HAgWzAVpUkqImp-TMpNZGjli3R8
601251165-74;Casa comercial ;Cerâmica - São Caetano do Sul/SP; Arnaldo Sante Locoselle, 133;sobrado;867;0;0;0;1990;Maravilhosa casa comercial no Cerâmica em São Caetano do Sul/SP;R$ 0,00;R$ 19.000,00;R$ 2.380.000,00;R$ 2.745,10;https://drive.google.com/drive/folders/1j395uSEs6I2Gsdyb2wkTEGcwZzf2zGKr
601251165-147;Vie Vila Mariana ;Vila Mariana ;Humberto I, 769;22;71;2;1;2;2013;Ótimo apartamento na Vila Mariana ;R$ 1.456,00;R$ 4.800,00;R$ 999.000,00;R$ 14.070,42;https://drive.google.com/drive/folders/1PDDLAPG_z3AMAb59B7pOEb4lN9fbWGjs
601251084-228;ID Jauaperi ;Moema ;Jauaperi, 229 ;905;20;1;0;0;2022;Lindo estúdio em Moema ;R$ 299,00;R$ 0,00;R$ 425.000,00;R$ 21.250,00;https://drive.google.com/drive/folders/1Fb8HolVLvyH03HmM1IwgqFXL5sFv-GA_
